hospital_id,treatment_id,estimated_cost
102,114,1560
103,102,24000
103,107,110000
103,113,15000
103,114,1300
104,102,24000
104,107,110000
104,113,15000
104,114,1300
105,102,28800
105,107,132000
105,113,18000
105,114,1560
106,102,24000
106,107,110000
106,113,15000
106,114,1300
107,102,28800
107,107,132000
107,113,18000
107,114,1560
108,102,28800
108,107,132000
108,113,18000
108,114,1560
109,102,24000
109,107,110000
109,113,15000
109,114,1300
110,102,24000
110,107,110000
110,113,15000
110,114,1300
111,102,28800
111,107,132000
111,113,18000
111,114,1560
112,102,28800
112,107,132000
112,113,18000
112,114,1560
113,102,28800
113,107,132000
113,113,18000
113,114,1560
114,102,24000
114,107,110000
114,113,15000
114,114,1300
115,102,28800
115,107,132000
115,113,18000
115,114,1560
116,102,24000
116,107,110000
116,113,15000
116,114,1300
117,102,24000
117,107,110000
117,113,15000
117,114,1300
118,102,24000
118,107,110000
118,113,15000
118,114,1300
119,102,28800
119,107,132000
119,113,18000
119,114,1560
120,102,24000
120,107,110000
120,113,15000
120,114,1300
121,102,24000
121,107,110000
121,113,15000
121,114,1300
122,102,24000
122,107,110000
122,113,15000
122,114,1300
123,102,24000
123,107,110000
123,113,15000
123,114,1300
124,102,28800
124,107,132000
124,113,18000
124,114,1560
125,102,24000
125,107,110000
125,113,15000
125,114,1300
126,102,28800
126,107,132000
126,113,18000
126,114,1560
127,102,28800
127,107,132000
127,113,18000
127,114,1560
128,102,24000
128,107,110000
128,113,15000
128,114,1300
129,102,24000
129,107,110000
129,113,15000
129,114,1300
130,102,28800
130,107,132000
130,113,18000
130,114,1560
131,102,24000
131,107,110000
131,113,15000
131,114,1300
132,102,24000
132,107,110000
132,113,15000
132,114,1300
133,102,28800
133,107,132000
133,113,18000
133,114,1560
134,102,28800
134,107,132000
134,113,18000
134,114,1560
135,102,28800
135,107,132000
135,113,18000
135,114,1560
136,102,24000
136,107,110000
136,113,15000
136,114,1300
137,102,28800
137,107,132000
137,113,18000
137,114,1560
138,102,28800
138,107,132000
138,113,18000
138,114,1560
139,102,28800
139,107,132000
139,113,18000
139,114,1560
140,102,28800
140,107,132000
140,113,18000
140,114,1560
141,102,24000
141,107,110000
141,113,15000
141,114,1300
142,102,24000
142,107,110000
142,113,15000
142,114,1300
143,102,28800
143,107,132000
143,113,18000
143,114,1560
144,102,28800
144,107,132000
144,113,18000
144,114,1560
145,102,28800
145,107,132000
145,113,18000
145,114,1560
146,102,28800
146,107,132000
146,113,18000
146,114,1560
147,102,28800
147,107,132000
147,113,18000
147,114,1560
148,102,28800
148,107,132000
148,113,18000
148,114,1560
149,102,24000
149,107,110000
149,113,15000
149,114,1300
150,102,24000
150,107,110000
150,113,15000
150,114,1300
151,102,28800
151,107,132000
151,113,18000
151,114,1560
152,102,28800
152,107,132000
152,113,18000
152,114,1560
153,102,24000
153,107,110000
153,113,15000
153,114,1300
154,102,28800
154,107,132000
154,113,18000
154,114,1560
155,102,24000
155,107,110000
155,113,15000
155,114,1300
156,102,24000
156,107,110000
156,113,15000
156,114,1300
157,102,24000
157,107,110000
157,113,15000
157,114,1300
158,102,24000
158,107,110000
158,113,15000
158,114,1300
159,102,28800
159,107,132000
159,113,18000
159,114,1560
160,102,28800
160,107,132000
160,113,18000
160,114,1560
161,102,24000
161,107,110000
161,113,15000
161,114,1300
162,102,28800
162,107,132000
162,113,18000
162,114,1560
163,102,28800
163,107,132000
163,113,18000
163,114,1560
164,102,24000
164,107,110000
164,113,15000
164,114,1300
165,102,28800
165,107,132000
165,113,18000
165,114,1560
166,102,24000
166,107,110000
166,113,15000
166,114,1300
167,102,24000
167,107,110000
167,113,15000
167,114,1300
168,102,24000
168,107,110000
168,113,15000
168,114,1300
169,102,24000
169,107,110000
169,113,15000
169,114,1300
170,102,24000
170,107,110000
170,113,15000
170,114,1300
171,102,28800
171,107,132000
171,113,18000
171,114,1560
172,102,28800
172,107,132000
172,113,18000
172,114,1560
173,102,28800
173,107,132000
173,113,18000
173,114,1560
174,102,28800
174,107,132000
174,113,18000
174,114,1560
175,102,24000
175,107,110000
175,113,15000
175,114,1300
176,102,24000
176,107,110000
176,113,15000
176,114,1300
177,102,24000
177,107,110000
177,113,15000
177,114,1300
178,102,28800
178,107,132000
178,113,18000
178,114,1560
179,102,28800
179,107,132000
179,113,18000
179,114,1560
180,102,24000
180,107,110000
180,113,15000
180,114,1300
181,102,24000
181,107,110000
181,113,15000
181,114,1300
182,102,24000
182,107,110000
182,113,15000
182,114,1300
183,102,24000
183,107,110000
183,113,15000
183,114,1300
184,102,24000
184,107,110000
184,113,15000
184,114,1300
185,102,28800
185,107,132000
185,113,18000
185,114,1560
186,102,28800
186,107,132000
186,113,18000
186,114,1560
187,102,24000
187,107,110000
187,113,15000
187,114,1300
188,102,24000
188,107,110000
188,113,15000
188,114,1300
189,102,28800
189,107,132000
189,113,18000
189,114,1560
190,102,24000
190,107,110000
190,113,15000
190,114,1300
191,102,28800
191,107,132000
191,113,18000
191,114,1560
192,102,28800
192,107,132000
192,113,18000
192,114,1560
193,102,28800
193,107,132000
193,113,18000
193,114,1560
194,102,28800
194,107,132000
194,113,18000
194,114,1560
195,102,28800
195,107,132000
195,113,18000
195,114,1560
196,102,28800
196,107,132000
196,113,18000
196,114,1560
197,102,24000
197,107,110000
197,113,15000
197,114,1300
198,102,28800
198,107,132000
198,113,18000
198,114,1560
199,102,28800
199,107,132000
199,113,18000
199,114,1560
200,102,24000
200,107,110000
200,113,15000
200,114,1300
201,102,24000
201,107,110000
201,113,15000
201,114,1300
202,102,28800
202,107,132000
202,113,18000
202,114,1560
203,102,28800
203,107,132000
203,113,18000
203,114,1560
204,102,24000
204,107,110000
204,113,15000
204,114,1300
205,102,24000
205,107,110000
205,113,15000
205,114,1300
206,102,24000
206,107,110000
206,113,15000
206,114,1300
207,102,24000
207,107,110000
207,113,15000
207,114,1300
208,102,24000
208,107,110000
208,113,15000
208,114,1300
209,102,28800
209,107,132000
209,113,18000
209,114,1560
210,102,24000
210,107,110000
210,113,15000
210,114,1300
211,102,24000
211,107,110000
211,113,15000
211,114,1300
212,102,28800
212,107,132000
212,113,18000
212,114,1560
213,102,24000
213,107,110000
213,113,15000
213,114,1300
214,102,24000
214,107,110000
214,113,15000
214,114,1300
215,102,24000
215,107,110000
215,113,15000
215,114,1300
216,102,28800
216,107,132000
216,113,18000
216,114,1560
217,102,24000
217,107,110000
217,113,15000
217,114,1300
218,102,28800
218,107,132000
218,113,18000
218,114,1560
219,102,24000
219,107,110000
219,113,15000
219,114,1300
220,102,28800
220,107,132000
220,113,18000
220,114,1560
221,102,28800
221,107,132000
221,113,18000
221,114,1560
222,102,24000
222,107,110000
222,113,15000
222,114,1300
223,102,24000
223,107,110000
223,113,15000
223,114,1300
224,102,24000
224,107,110000
224,113,15000
224,114,1300
225,102,28800
225,107,132000
225,113,18000
225,114,1560
226,102,24000
226,107,110000
226,113,15000
226,114,1300
227,102,28800
227,107,132000
227,113,18000
227,114,1560
228,102,28800
228,107,132000
228,113,18000
228,114,1560
229,102,28800
229,107,132000
229,113,18000
229,114,1560
230,102,28800
230,107,132000
230,113,18000
230,114,1560
231,102,24000
231,107,110000
231,113,15000
231,114,1300
232,102,28800
232,107,132000
232,113,18000
232,114,1560
233,102,28800
233,107,132000
233,113,18000
233,114,1560
234,102,24000
234,107,110000
234,113,15000
234,114,1300
235,102,28800
235,107,132000
235,113,18000
235,114,1560
236,102,28800
236,107,132000
236,113,18000
236,114,1560
237,102,28800
237,107,132000
237,113,18000
237,114,1560
238,102,28800
238,107,132000
238,113,18000
238,114,1560
239,102,28800
239,107,132000
239,113,18000
239,114,1560
240,102,28800
240,107,132000
240,113,18000
240,114,1560
241,102,28800
241,107,132000
241,113,18000
241,114,1560
242,102,28800
242,107,132000
242,113,18000
242,114,1560
243,102,24000
243,107,110000
243,113,15000
243,114,1300
244,102,28800
244,107,132000
244,113,18000
244,114,1560
245,102,24000
245,107,110000
245,113,15000
245,114,1300
246,102,24000
246,107,110000
246,113,15000
246,114,1300
247,102,24000
247,107,110000
247,113,15000
247,114,1300
248,102,24000
248,107,110000
248,113,15000
248,114,1300
249,102,24000
249,107,110000
249,113,15000
249,114,1300
250,102,28800
250,107,132000
250,113,18000
250,114,1560
251,102,24000
251,107,110000
251,113,15000
251,114,1300
252,102,24000
252,107,110000
252,113,15000
252,114,1300
253,102,24000
253,107,110000
253,113,15000
253,114,1300
254,102,28800
254,107,132000
254,113,18000
254,114,1560
255,102,24000
255,107,110000
255,113,15000
255,114,1300
256,102,24000
256,107,110000
256,113,15000
256,114,1300
257,102,24000
257,107,110000
257,113,15000
257,114,1300
258,102,24000
258,107,110000
258,113,15000
258,114,1300
259,102,28800
259,107,132000
259,113,18000
259,114,1560
260,102,28800
260,107,132000
260,113,18000
260,114,1560
261,102,28800
261,107,132000
261,113,18000
261,114,1560
262,102,24000
262,107,110000
262,113,15000
262,114,1300
263,102,24000
263,107,110000
263,113,15000
263,114,1300
264,102,28800
264,107,132000
264,113,18000
264,114,1560
265,102,28800
265,107,132000
265,113,18000
265,114,1560
266,102,24000
266,107,110000
266,113,15000
266,114,1300
267,102,24000
267,107,110000
267,113,15000
267,114,1300
268,102,28800
268,107,132000
268,113,18000
268,114,1560
269,102,24000
269,107,110000
269,113,15000
269,114,1300
270,102,28800
270,107,132000
270,113,18000
270,114,1560
271,102,28800
271,107,132000
271,113,18000
271,114,1560
272,102,24000
272,107,110000
272,113,15000
272,114,1300
273,102,28800
273,107,132000
273,113,18000
273,114,1560
274,102,24000
274,107,110000
274,113,15000
274,114,1300
275,102,28800
275,107,132000
275,113,18000
275,114,1560
276,102,24000
276,107,110000
276,113,15000
276,114,1300
277,102,28800
277,107,132000
277,113,18000
277,114,1560
278,102,24000
278,107,110000
278,113,15000
278,114,1300
279,102,24000
279,107,110000
279,113,15000
279,114,1300
280,102,28800
280,107,132000
280,113,18000
280,114,1560
281,102,24000
281,107,110000
281,113,15000
281,114,1300
282,102,24000
282,107,110000
282,113,15000
282,114,1300
283,102,24000
283,107,110000
283,113,15000
283,114,1300
284,102,24000
284,107,110000
284,113,15000
284,114,1300
285,102,28800
285,107,132000
285,113,18000
285,114,1560
286,102,24000
286,107,110000
286,113,15000
286,114,1300
287,102,24000
287,107,110000
287,113,15000
287,114,1300
288,102,28800
288,107,132000
288,113,18000
288,114,1560
289,102,28800
289,107,132000
289,113,18000
289,114,1560
290,102,28800
290,107,132000
290,113,18000
290,114,1560
291,102,28800
291,107,132000
291,113,18000
291,114,1560
292,102,28800
292,107,132000
292,113,18000
292,114,1560
293,102,28800
293,107,132000
293,113,18000
293,114,1560
294,102,24000
294,107,110000
294,113,15000
294,114,1300
295,102,24000
295,107,110000
295,113,15000
295,114,1300
296,102,24000
296,107,110000
296,113,15000
296,114,1300
297,102,24000
297,107,110000
297,113,15000
297,114,1300
298,102,24000
298,107,110000
298,113,15000
298,114,1300
299,102,24000
299,107,110000
299,113,15000
299,114,1300
300,102,28800
300,107,132000
300,113,18000
300,114,1560
301,102,28800
301,107,132000
301,113,18000
301,114,1560
302,102,24000
302,107,110000
302,113,15000
302,114,1300
303,102,28800
303,107,132000
303,113,18000
303,114,1560
304,102,28800
304,107,132000
304,113,18000
304,114,1560
305,102,28800
305,107,132000
305,113,18000
305,114,1560
306,102,28800
306,107,132000
306,113,18000
306,114,1560
307,102,24000
307,107,110000
307,113,15000
307,114,1300
308,102,24000
308,107,110000
308,113,15000
308,114,1300
309,102,28800
309,107,132000
309,113,18000
309,114,1560
310,102,28800
310,107,132000
310,113,18000
310,114,1560
311,102,28800
311,107,132000
311,113,18000
311,114,1560
312,102,28800
312,107,132000
312,113,18000
312,114,1560
313,102,24000
313,107,110000
313,113,15000
313,114,1300
314,102,28800
314,107,132000
314,113,18000
314,114,1560
315,102,28800
315,107,132000
315,113,18000
315,114,1560
316,102,28800
316,107,132000
316,113,18000
316,114,1560
317,102,28800
317,107,132000
317,113,18000
317,114,1560
318,102,24000
318,107,110000
318,113,15000
318,114,1300
319,102,28800
319,107,132000
319,113,18000
319,114,1560
320,102,28800
320,107,132000
320,113,18000
320,114,1560
321,102,24000
321,107,110000
321,113,15000
321,114,1300
322,102,24000
322,107,110000
322,113,15000
322,114,1300
323,102,28800
323,107,132000
323,113,18000
323,114,1560
324,102,28800
324,107,132000
324,113,18000
324,114,1560
325,102,28800
325,107,132000
325,113,18000
325,114,1560
326,102,28800
326,107,132000
326,113,18000
326,114,1560
327,102,24000
327,107,110000
327,113,15000
327,114,1300
328,102,28800
328,107,132000
328,113,18000
328,114,1560
329,102,28800
329,107,132000
329,113,18000
329,114,1560
330,102,24000
330,107,110000
330,113,15000
330,114,1300
331,102,28800
331,107,132000
331,113,18000
331,114,1560
332,102,24000
332,107,110000
332,113,15000
332,114,1300
333,102,24000
333,107,110000
333,113,15000
333,114,1300
334,102,28800
334,107,132000
334,113,18000
334,114,1560
335,102,28800
335,107,132000
335,113,18000
335,114,1560
336,102,28800
336,107,132000
336,113,18000
336,114,1560
337,102,24000
337,107,110000
337,113,15000
337,114,1300
338,102,28800
338,107,132000
338,113,18000
338,114,1560
339,102,24000
339,107,110000
339,113,15000
339,114,1300
340,102,24000
340,107,110000
340,113,15000
340,114,1300
341,102,24000
341,107,110000
341,113,15000
341,114,1300
342,102,28800
342,107,132000
342,113,18000
342,114,1560
343,102,24000
343,107,110000
343,113,15000
343,114,1300
344,102,28800
344,107,132000
344,113,18000
344,114,1560
345,102,24000
345,107,110000
345,113,15000
345,114,1300
346,102,28800
346,107,132000
346,113,18000
346,114,1560
347,102,24000
347,107,110000
347,113,15000
347,114,1300
348,102,28800
348,107,132000
348,113,18000
348,114,1560
349,102,28800
349,107,132000
349,113,18000
349,114,1560
350,102,24000
350,107,110000
350,113,15000
350,114,1300
351,102,28800
351,107,132000
351,113,18000
351,114,1560
352,102,24000
352,107,110000
352,113,15000
352,114,1300
353,102,28800
353,107,132000
353,113,18000
353,114,1560
354,102,24000
354,107,110000
354,113,15000
354,114,1300
355,102,24000
355,107,110000
355,113,15000
355,114,1300
356,102,24000
356,107,110000
356,113,15000
356,114,1300
357,102,24000
357,107,110000
357,113,15000
357,114,1300
358,102,24000
358,107,110000
358,113,15000
358,114,1300
359,102,24000
359,107,110000
359,113,15000
359,114,1300
360,102,24000
360,107,110000
360,113,15000
360,114,1300
361,102,24000
361,107,110000
361,113,15000
361,114,1300
362,102,24000
362,107,110000
362,113,15000
362,114,1300
363,102,28800
363,107,132000
363,113,18000
363,114,1560
364,102,28800
364,107,132000
364,113,18000
364,114,1560
365,102,24000
365,107,110000
365,113,15000
365,114,1300
366,102,24000
366,107,110000
366,113,15000
366,114,1300
367,102,28800
367,107,132000
367,113,18000
367,114,1560
368,102,24000
368,107,110000
368,113,15000
368,114,1300
369,102,28800
369,107,132000
369,113,18000
369,114,1560
370,102,28800
370,107,132000
370,113,18000
370,114,1560
371,102,28800
371,107,132000
371,113,18000
371,114,1560
372,102,24000
372,107,110000
372,113,15000
372,114,1300
373,102,28800
373,107,132000
373,113,18000
373,114,1560
374,102,24000
374,107,110000
374,113,15000
374,114,1300
375,102,24000
375,107,110000
375,113,15000
375,114,1300
376,102,24000
376,107,110000
376,113,15000
376,114,1300
377,102,24000
377,107,110000
377,113,15000
377,114,1300
378,102,24000
378,107,110000
378,113,15000
378,114,1300
379,102,28800
379,107,132000
379,113,18000
379,114,1560
380,102,28800
380,107,132000
380,113,18000
380,114,1560
381,102,24000
381,107,110000
381,113,15000
381,114,1300
382,102,28800
382,107,132000
382,113,18000
382,114,1560
383,102,24000
383,107,110000
383,113,15000
383,114,1300
384,102,28800
384,107,132000
384,113,18000
384,114,1560
385,102,28800
385,107,132000
385,113,18000
385,114,1560
386,102,28800
386,107,132000
386,113,18000
386,114,1560
387,102,24000
387,107,110000
387,113,15000
387,114,1300
388,102,28800
388,107,132000
388,113,18000
388,114,1560
389,102,24000
389,107,110000
389,113,15000
389,114,1300
390,102,24000
390,107,110000
390,113,15000
390,114,1300
391,102,28800
391,107,132000
391,113,18000
391,114,1560
392,102,24000
392,107,110000
392,113,15000
392,114,1300
393,102,28800
393,107,132000
393,113,18000
393,114,1560
394,102,28800
394,107,132000
394,113,18000
394,114,1560
395,102,28800
395,107,132000
395,113,18000
395,114,1560
396,102,28800
396,107,132000
396,113,18000
396,114,1560
397,102,28800
397,107,132000
397,113,18000
397,114,1560
398,102,28800
398,107,132000
398,113,18000
398,114,1560
399,102,28800
399,107,132000
399,113,18000
399,114,1560
400,102,28800
400,107,132000
400,113,18000
400,114,1560
401,102,28800
401,107,132000
401,113,18000
401,114,1560
402,102,28800
402,107,132000
402,113,18000
402,114,1560
403,102,24000
403,107,110000
403,113,15000
403,114,1300
404,102,24000
404,107,110000
404,113,15000
404,114,1300
405,102,24000
405,107,110000
405,113,15000
405,114,1300
406,102,24000
406,107,110000
406,113,15000
406,114,1300
407,102,28800
407,107,132000
407,113,18000
407,114,1560
408,102,28800
408,107,132000
408,113,18000
408,114,1560
409,102,28800
409,107,132000
409,113,18000
409,114,1560
410,102,28800
410,107,132000
410,113,18000
410,114,1560
411,102,28800
411,107,132000
411,113,18000
411,114,1560
412,102,24000
412,107,110000
412,113,15000
412,114,1300
413,102,28800
413,107,132000
413,113,18000
413,114,1560
414,102,24000
414,107,110000
414,113,15000
414,114,1300
415,102,28800
415,107,132000
415,113,18000
415,114,1560
416,102,24000
416,107,110000
416,113,15000
416,114,1300
417,102,24000
417,107,110000
417,113,15000
417,114,1300
418,102,24000
418,107,110000
418,113,15000
418,114,1300
419,102,28800
419,107,132000
419,113,18000
419,114,1560
420,102,28800
420,107,132000
420,113,18000
420,114,1560
421,102,28800
421,107,132000
421,113,18000
421,114,1560
422,102,28800
422,107,132000
422,113,18000
422,114,1560
423,102,28800
423,107,132000
423,113,18000
423,114,1560
424,102,28800
424,107,132000
424,113,18000
424,114,1560
425,102,24000
425,107,110000
425,113,15000
425,114,1300
426,102,28800
426,107,132000
426,113,18000
426,114,1560
427,102,28800
427,107,132000
427,113,18000
427,114,1560
428,102,28800
428,107,132000
428,113,18000
428,114,1560
429,102,28800
429,107,132000
429,113,18000
429,114,1560
430,102,24000
430,107,110000
430,113,15000
430,114,1300
431,102,24000
431,107,110000
431,113,15000
431,114,1300
432,102,24000
432,107,110000
432,113,15000
432,114,1300
433,102,28800
433,107,132000
433,113,18000
433,114,1560
434,102,24000
434,107,110000
434,113,15000
434,114,1300
435,102,28800
435,107,132000
435,113,18000
435,114,1560
436,102,24000
436,107,110000
436,113,15000
436,114,1300
437,102,28800
437,107,132000
437,113,18000
437,114,1560
438,102,28800
438,107,132000
438,113,18000
438,114,1560
439,102,28800
439,107,132000
439,113,18000
439,114,1560
440,102,28800
440,107,132000
440,113,18000
440,114,1560
441,102,24000
441,107,110000
441,113,15000
441,114,1300
442,102,28800
442,107,132000
442,113,18000
442,114,1560
443,102,24000
443,107,110000
443,113,15000
443,114,1300
444,102,24000
444,107,110000
444,113,15000
444,114,1300
445,102,28800
445,107,132000
445,113,18000
445,114,1560
446,102,24000
446,107,110000
446,113,15000
446,114,1300
447,102,28800
447,107,132000
447,113,18000
447,114,1560
448,102,28800
448,107,132000
448,113,18000
448,114,1560
449,102,24000
449,107,110000
449,113,15000
449,114,1300
450,102,24000
450,107,110000
450,113,15000
450,114,1300
451,102,28800
451,107,132000
451,113,18000
451,114,1560
452,102,28800
452,107,132000
452,113,18000
452,114,1560
453,102,28800
453,107,132000
453,113,18000
453,114,1560
454,102,28800
454,107,132000
454,113,18000
454,114,1560
455,102,28800
455,107,132000
455,113,18000
455,114,1560
456,102,24000
456,107,110000
456,113,15000
456,114,1300
457,102,24000
457,107,110000
457,113,15000
457,114,1300
458,102,28800
458,107,132000
458,113,18000
458,114,1560
459,102,24000
459,107,110000
459,113,15000
459,114,1300
460,102,24000
460,107,110000
460,113,15000
460,114,1300
461,102,24000
461,107,110000
461,113,15000
461,114,1300
462,102,24000
462,107,110000
462,113,15000
462,114,1300
463,102,24000
463,107,110000
463,113,15000
463,114,1300
464,102,28800
464,107,132000
464,113,18000
464,114,1560
465,102,28800
465,107,132000
465,113,18000
465,114,1560
466,102,24000
466,107,110000
466,113,15000
466,114,1300
467,102,24000
467,107,110000
467,113,15000
467,114,1300
468,102,24000
468,107,110000
468,113,15000
468,114,1300
469,102,28800
469,107,132000
469,113,18000
469,114,1560
470,102,28800
470,107,132000
470,113,18000
470,114,1560
471,102,28800
471,107,132000
471,113,18000
471,114,1560
472,102,24000
472,107,110000
472,113,15000
472,114,1300
473,102,24000
473,107,110000
473,113,15000
473,114,1300
474,102,28800
474,107,132000
474,113,18000
474,114,1560
475,102,28800
475,107,132000
475,113,18000
475,114,1560
476,102,24000
476,107,110000
476,113,15000
476,114,1300
477,102,28800
477,107,132000
477,113,18000
477,114,1560
478,102,24000
478,107,110000
478,113,15000
478,114,1300
479,102,28800
479,107,132000
479,113,18000
479,114,1560
480,102,24000
480,107,110000
480,113,15000
480,114,1300
481,102,24000
481,107,110000
481,113,15000
481,114,1300
482,102,24000
482,107,110000
482,113,15000
482,114,1300
483,102,28800
483,107,132000
483,113,18000
483,114,1560
484,102,24000
484,107,110000
484,113,15000
484,114,1300
485,102,28800
485,107,132000
485,113,18000
485,114,1560
486,102,24000
486,107,110000
486,113,15000
486,114,1300
487,102,28800
487,107,132000
487,113,18000
487,114,1560
488,102,28800
488,107,132000
488,113,18000
488,114,1560
489,102,28800
489,107,132000
489,113,18000
489,114,1560
490,102,28800
490,107,132000
490,113,18000
490,114,1560
491,102,24000
491,107,110000
491,113,15000
491,114,1300
492,102,28800
492,107,132000
492,113,18000
492,114,1560
493,102,24000
493,107,110000
493,113,15000
493,114,1300
494,102,28800
494,107,132000
494,113,18000
494,114,1560
495,102,24000
495,107,110000
495,113,15000
495,114,1300
496,102,28800
496,107,132000
496,113,18000
496,114,1560
497,102,28800
497,107,132000
497,113,18000
497,114,1560
498,102,28800
498,107,132000
498,113,18000
498,114,1560
499,102,28800
499,107,132000
